# mode 1  frequency =      136 I cm-1
1   0.93137168   0.10090017   0.17429553
2   0.20696541   0.04674410   0.01556241
3   0.19810255   0.04729894   0.07241075
# mode 2  frequency =       77 I cm-1
1   0.09107648   0.50015487  -0.79454733
2   0.02218982   0.12377895  -0.19685909
3   0.02238913   0.12427034  -0.19933189
# mode 3  frequency =       73 I cm-1
1   0.18517433  -0.79617292  -0.47712788
2   0.04608993  -0.18911136  -0.13195419
3   0.04529290  -0.18873283  -0.10581739
# mode 4  frequency =      289 cm-1
1  -0.03185659  -0.18172170   0.00012527
2  -0.05413353   0.39379563  -0.57017415
3  -0.05178910   0.39372043   0.57022844
# mode 5  frequency =      319 cm-1
1  -0.00124637  -0.00030407  -0.00104217
2   0.69493000   0.00006773  -0.00043434
3  -0.71907535   0.00009970  -0.00005201
# mode 6  frequency =      331 cm-1
1   0.29823667   0.00717405  -0.00625583
2  -0.68460975  -0.02563833   0.03409436
3  -0.66215646  -0.02542885  -0.03682685
# mode 7  frequency =     1601 cm-1
1   0.00090075   0.00000152   0.27210906
2   0.00000253   0.40603878  -0.54598812
3  -0.00004226  -0.40602824  -0.54600953
# mode 8  frequency =     3637 cm-1
1   0.00003028  -0.00006947   0.19126163
2  -0.00002073  -0.57877506  -0.38277891
3  -0.00001258   0.57904461  -0.38291783
# mode 9  frequency =     3745 cm-1
1  -0.00009680   0.26962678   0.00005259
2  -0.00000053  -0.53958343  -0.41558212
3  -0.00001906  -0.53933813   0.41539980
